kmdm,kmmc,dwdm,dwmc,rlj,ylj,nlj
2080501,行政单位离退休,54,大连市档案局,0,5833.96,5833.96
2080501,行政单位离退休,55,大连市地震局,0,9302.61,18605.22
2080501,行政单位离退休,57,大连市民主党派行政事务管理办公室,0,75636.27,151272.54
2080501,行政单位离退休,58,大连市妇女联合会,0,125239.38,250478.76
2080501,行政单位离退休,59,中国共产主义青年团大连市委员会,0,6858.39,13716.78
2080501,行政单位离退休,60,大连市工商业联合会,0,23774.71,47549.42
2080501,行政单位离退休,61,大连市总工会,0,149977.21,299954.42
2080501,行政单位离退休,62,大连市残疾人联合会,0,72033.45,123538.96
2080501,行政单位离退休,63,大连市文学艺术界联合会,0,56234.02,105087.9
2080501,行政单位离退休,64,大连市科学技术协会,0,105265.86,246904.72
2080501,行政单位离退休,65,中国国际贸易促进委员会大连分会,0,22987.18,41992.58
2080501,行政单位离退休,66,大连市接待办公室,0,74386.98,148773.96
2080501,行政单位离退休,72,大连市红十字会,0,5120.93,5120.93
2080501,行政单位离退休,74,大连市人民防空办公室,0,30438.07,60876.14
2080501,行政单位离退休,110,大连市物价局,0,64810.32,129620.64
2080501,行政单位离退休,114,大连市公安局交通警察支队,0,347960.88,668628.45
2080501,行政单位离退休,213,大连市城市管理行政执法局,0,40476.42,80952.84
2080503,离退休人员管理机构,49,中国共产党大连市委员会老干部局,0,180716.52,361433.04
2081101,行政运行,62,大连市残疾人联合会,0,278285.85,586096.05
2081601,行政运行,72,大连市红十字会,0,102520.61,210162.15
2100101,行政运行,34,大连市卫生和计划生育委员会,0,710777.2,1477532.11
2101001,行政运行,42,大连市食品药品监督管理局,0,687995.15,1358204.37
2101203,财政对新型农村合作医疗基金的补助,900,下级财政,0,712480000,712480000
2110101,行政运行,39,大连市环境保护局,0,870978,1741956
2120101,行政运行,21,大连市城乡建设委员会,0,122391.48,244782.96
2120101,行政运行,23,大连市城市建设管理局,0,521706.3,1043412.6
2120101,行政运行,88,大连市轨道交通建设管理办公室,0,87871.24,202340.39
2120101,行政运行,113,大连钻石海湾规划建设领导小组办公室,0,100944.68,201889.36
2120101,行政运行,213,大连市城市管理行政执法局,0,408880.02,818344.66
2120201,城乡社区规划与管理,22,大连市规划局,0,820118.73,1641069.63
2130101,行政运行,27,大连市农村经济委员会,0,686443.29,1376664.88
2130201,行政运行,29,大连市林业局,0,384880.22,769760.44
2130301,行政运行,28,大连市水务局,0,452181,904362
2140101,行政运行,25,大连市交通局,0,482286,962589.95
2140101,行政运行,48,大连市港口与口岸局,0,435714.94,871691.77
2150201,行政运行,8,大连市经济和信息化委员会,0,1277219.83,2547137.09
2150601,行政运行,43,大连市安全生产监督管理局,0,621527.46,1243194.62
2150701,行政运行,6,大连市人民政府国有资产监督管理委员会,0,692819.98,1391260.32
2150801,行政运行,98,大连市创业促进委员会办公室,0,73534.27,147072.48
2150899,其他支持中小企业发展和管理支出,8,大连市经济和信息化委员会,0,41424.91,82849.82
2160201,行政运行,51,大连市供销合作社联合社,0,318643.19,638164.11
2160501,行政运行,50,大连市旅游局,0,294868.03,589896.04
2160601,行政运行,31,大连市对外贸易经济合作局,0,694637.82,1367665.56
2160601,行政运行,65,中国国际贸易促进委员会大连分会,0,226695.85,458931.48
2170101,行政运行,45,大连市金融发展局,0,309549.76,628746.54
2200101,行政运行,20,大连市国土资源和房屋局,0,1101028.93,2189431.55
2200201,行政运行,30,大连市海洋与渔业局,0,395252.45,790504.9
2200401,行政运行,55,大连市地震局,0,135355.67,270711.34
2210201,住房公积金,1,中共大连市委办公厅,0,738608.64,1469416.41
2210201,住房公积金,2,大连市人民代表大会常务委员会办公厅,0,173319.44,349789.84
2210201,住房公积金,3,中国人民政治协商会议辽宁省大连市委员会办公厅,0,104705.1,212087.88
2210201,住房公积金,4,中国共产党大连市纪律检查委员会办公厅,0,158761.54,314480.72
2210201,住房公积金,5,大连市人民政府办公厅,0,1013330.83,2025461.18
2210201,住房公积金,6,大连市人民政府国有资产监督管理委员会,0,126572.86,254346.32
2210201,住房公积金,8,大连市经济和信息化委员会,0,235810.35,468402.7
2210201,住房公积金,9,大连市教育局,0,99796.24,200826.2
2210201,住房公积金,10,大连市科学技术局,0,63457.47,126914.94
2210201,住房公积金,11,大连市公安局,0,11949135.48,22078600.42
2210201,住房公积金,13,辽宁省大连市人民检察院,0,448680.69,905671.02
2210201,住房公积金,14,大连市中级人民法院,0,475058.46,919895.49
2210201,住房公积金,15,大连市民政局,0,106912.95,212374.98
2210201,住房公积金,16,大连市司法局,0,909816.11,1822584.3
