报文种类,报文标识号,付款人帐号,付款人名称,收款行行号,收款行名称,收款人帐号,收款人名称,金额
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,5123.99
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,8572.88
111,2.02E+15,3.50E+17,国家金库大连市分库,1.05E+11,中国建设银行大连保税区支行,24102650,保税区支库待处理税款户,783.64
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,321.19
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,15120.82
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,3588.81
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,4164432.53
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,461.97
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,25392.35
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,23506.78
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,3541.19
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,36248.83
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,389.12
111,2.02E+15,3.50E+17,国家金库大连市分库,1.04E+11,中国银行大连长兴岛支行,9.04E+15,待报解财政收入长兴岛支库待处理税款户,202.29
111,2.02E+15,3.50E+17,国家金库大连市分库,1.05E+11,中国建设银行大连保税区支行,24102650,保税区支库待处理税款户,27778.94
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,4152.63
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,22766.36
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,8996.02
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,154700.24
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,881.39
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,21877.26
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,4486.66
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,10646.81
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,166187.81
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,17.34
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,95.58
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连长海支行,50101007,长海县支库待处理税款户,7403.44
111,2.02E+15,3.50E+17,国家金库大连市分库,1.05E+11,中国建设银行大连保税区支行,24102650,保税区支库待处理税款户,4674.76
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,11321327.66
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,2831.77
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,17.8
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,40.78
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,38825.6
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,278357.99
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,45774.14
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,565437.17
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,126.26
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,41885.9
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,227.28
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连长海支行,50101007,长海县支库待处理税款户,22100
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,21747.23
111,2.02E+15,3.50E+17,国家金库大连市分库,1.04E+11,中国银行大连长兴岛支行,9.04E+15,待报解财政收入长兴岛支库待处理税款户,4923.07
111,2.02E+15,3.50E+17,国家金库大连市分库,1.05E+11,中国建设银行大连保税区支行,24102650,保税区支库待处理税款户,17127.89
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连花园口支行,5010109,大连花园口支库待处理税款户,24.47
